,OID,osm_way_id,name,correct_name,aeroway,amenity,barrier,boundary,notes,building_type,building_classification ,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,shape_Leng,shape_Area,poly_area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,MIN,MAX,Building_H,shape index,fractal dimensions ,height area,volume,perimeter index,Detour,Detour index
,-1,400038512,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,788.8743293,3133.052097,3133.052097,788.8743293,495232.5865,7667370.942,21,-3.813309193,12.65503979,16.46834898,0.2517910028,3.971547788,0.005256327846,490934408.3,,,
,-1,400038513,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,81.36062164,329.1773318,329.1773318,81.36062164,495212.2723,7667135.353,5,-10.98626232,2.264036179,13.2502985,0.2471635006,4.045904827,0.04025276719,538570.7642,,,
,-1,400038514,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,83.24849304,359.3546519,359.3546519,83.24849304,495188.2507,7667139.405,5,-12.95742416,1.690781116,14.64820528,0.2316610975,4.316650534,0.04076253139,576937.9965,,,
,-1,400038515,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,62.33917147,213.5854825,213.5854825,62.33917147,495265.2293,7667276.185,5,-4.119341373,5.766261101,9.885602474,0.2918698909,3.42618417,0.0462840562,242260.7613,,,
,-1,400038516,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,85.01036199,390.1834151,390.1834151,85.01036199,495155.4015,7667347.137,5,-5.206887722,4.498362064,9.705249786,0.2178728227,4.589833591,0.02487355795,614349.6236,,,
,-1,400038517,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,66.23330478,256.2231676,256.2231676,66.23330478,495191.1313,7667279.65,5,-8.003339767,1.724603295,9.727943063,0.2584985011,3.868494384,0.0379666802,290555.6169,,,
,-1,400038518,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,85.96498022,389.2307644,389.2307644,85.96498022,495236.738,7667130.642,5,-9.380768776,2.370882273,11.75165105,0.2208586476,4.527782864,0.03019198924,635279.2976,,,
,-1,400038519,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,90.3424608,404.1698766,404.1698766,90.3424608,495107.276,7667337.944,5,-7.13392067,4.969728947,12.10364962,0.2235259628,4.473753239,0.02994693647,737353.503,,,
,-1,510557888,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,54.22553446,147.5148142,147.5148142,54.22553446,497412.4525,7667314.76,7,-26.8708744,-24.80860329,2.062271118,0.3675938227,2.720393919,0.01398009501,159445.2272,,,
,-1,510557889,,,,,,,,Garage,Residential,yes,,,,,,,,,,,,,,,,34.57339612,74.60730533,74.60730533,34.57339612,497416.7407,7667331.814,5,-26.78590775,-24.7937336,1.992174149,0.4634049705,2.157939737,0.02670213245,41326.26216,,,
,-1,510557890,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,101.541588,338.1838509,338.1838509,101.541588,497442.2895,7667366.355,9,-26.64027977,-24.854002,1.786277771,0.3002555792,3.330495981,0.005281972413,1046964.253,,,
,-1,510557891,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,66.21256224,228.1203592,228.1203592,66.21256224,497445.0079,7667315.64,5,-26.56049538,-23.93251228,2.627983093,0.2902527528,3.445273095,0.01152016024,290282.7191,,,
,-1,510557892,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,50.54108648,149.7646971,149.7646971,50.54108648,497409.2608,7667288.73,5,-27.95469093,-25.1492157,2.805475235,0.337469961,2.963226704,0.01873255373,129102.2232,,,
,-1,510557893,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,51.88448374,157.5486473,157.5486473,51.88448374,497445.2887,7667293.327,5,-26.56604004,-23.9846344,2.58140564,0.3293235748,3.036527223,0.01638481627,139673.0122,,,
,-1,510557894,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,62.37126051,191.6430724,191.6430724,62.37126051,497415.2222,7667261.1,9,-29.4738121,-25.69212914,3.781682968,0.3254553359,3.072618236,0.01973294897,242635.0645,,,
,-1,510557895,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,38.71239285,92.62331498,92.62331498,38.71239285,497448.5633,7667266.306,5,-26.96081161,-26.40392113,0.5568904877,0.4179551645,2.392601133,0.006012422334,58016.30277,,,
,-1,510557896,,,,,,,,Multi-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,57.18489691,179.6525763,179.6525763,57.18489691,497443.149,7667237.381,5,-29.78561211,-25.02367592,4.761936188,0.3183082486,3.141608816,0.02650636181,187001.0424,,,
,-1,510557897,,,,,,,,Garage,Residential,yes,,,,,,,,,,,,,,,,23.38175284,32.02952193,32.02952193,23.38175284,497450.4761,7667254.772,5,-26.6838398,-26.33779144,0.3460483551,0.7300063015,1.369851189,0.01080404371,12782.95313,,,
,-1,510557898,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,42.26516699,108.3021581,108.3021581,42.26516699,497334.0142,7667367.446,5,-25.43694496,-24.93859673,0.4983482361,0.3902523064,2.562444817,0.004601461733,75500.14188,,,
,-1,510557899,,,,,,,,Single-Unit Residential,Residential,yes,,,,,,,,,,,,,,,,41.17276069,100.6683479,100.6683479,41.17276069,497333.084,7667345.33,5,-26.47214508,-25.18348312,1.288661957,0.4089941035,2.445023025,0.01280106393,69795.90839,,,
,-1,510562349,,,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,"""addr:housenumber""=>""1"",""addr:street""=>""Kamotik road""",121.5811696,622.8601502,622.8601502,121.5811696,497932.428,7667633.663,9,-16.57654381,-8.903075218,7.67346859,0.195198183,5.122998506,0.01231972954,1797210.515,,,
,-1,510562351,,Nunavut Arctic College,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,48.99450807,136.763495,136.763495,48.99450807,497877.7458,7667587.113,5,-14.01245403,-13.73771954,0.2747344971,0.3582425856,2.791404596,0.002008829162,117609.446,,,
,-1,510563871,,Enokhok Office,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,60.5707042,220.1582277,220.1582277,60.5707042,497484.0273,7667355.25,5,-25.60463905,-14.60523987,10.99939919,0.2751235093,3.634731189,0.049961336,222222.4178,,,
,-1,510568140,Glad Tidings Church,Glad Tidings Church,,place_of_worship,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,"""description""=>""Glad Tidings Church ?"",""religion""=>""christian""",67.93765934,211.7023564,211.7023564,67.93765934,498161.8787,7667367.082,9,-20.16432762,-18.25143433,1.912893295,0.3209112099,3.116126732,0.009035767612,313568.0029,,,
,-1,510568142,,Nunavut Arctic College,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,131.3800797,655.0064475,655.0064475,131.3800797,497648.3134,7668016.817,15,-19.98383331,-13.09679317,6.887040138,0.2005783,4.985584183,0.0105144616,2267715.473,,,
,-1,510568143,Kiilinik High School,Kiilinik High School,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,232.7401977,3538.620582,3538.620582,232.7401977,497795.5752,7667565.185,17,-15.28370667,-4.369452477,10.91425419,0.06577144747,15.20416592,0.003084324509,12607070.94,,,
,-1,510568144,,,,,,,,Industrial,Industrial,yes,,,,,,,,,,,,,,,,43.52179714,119.3899961,119.3899961,43.52179714,497755.7757,7667545.691,10,-15.88927078,-11.90521049,3.984060287,0.364534706,2.743223028,0.03337013499,82436.67393,,,
,-1,510571183,,,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,92.18853251,446.7224842,446.7224842,92.18853251,497743.9892,7667453.9,9,-17.88528061,-12.39568806,5.489592552,0.2063664485,4.845748946,0.01228859694,783485.0344,,,
,-1,510571184,,,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,46.45934418,122.4927228,122.4927228,46.45934418,497832.8845,7667510.903,5,-15.44052696,-13.86668587,1.573841095,0.3792824839,2.636557295,0.01284844568,100281.1314,,,
,-1,510571185,,,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,45.8908705,128.7496031,128.7496031,45.8908705,497848.0292,7667501.228,5,-15.49131966,-13.75537109,1.735948563,0.3564350445,2.805560271,0.0134831372,96644.88814,,,
,-1,510571186,RBC Royal Bank,RBC Royal Bank,,,,,,Commercial,Commercial,yes,,,,,,,,,,,,,,,,79.48473192,393.0991384,393.0991384,79.48473192,497806.3363,7667448.156,5,-17.428339,-9.86981678,7.558522224,0.2022002191,4.945593058,0.0192280305,502170.4364,,,
