osm_way_id,building_type,building_classification ,shape_Area,perimeter,CENTROID_X,CENTROID_Y,PNT_COUNT,Building_H,fractal_dimensions ,height_area,volume
510847802,Single-Unit Residential,Residential,176.2544405,55.70636825,497639.1069,7667540.733,5,5.028272629,3.163990869,0.028528488,172867.972
510847803,Single-Unit Residential,Commercial,195.0800862,60.99313093,497634.2101,7667520.238,5,4.01168251,3.198394364,0.020564285,226904.3292
510847804,Multi-Unit Residential,Residential,297.9848819,80.40534158,497627.6958,7667484.446,5,6.611139297,3.706033406,0.022186157,519822.0573
510847805,Commercial,Commercial,742.4949314,155.9873995,497598.9602,7667437.286,15,5.983963966,4.759967369,0.008059266,3795496.134
510847806,Garage,Commercial,44.51425542,26.93179532,497589.4499,7667472.105,5,0.543807983,1.652851393,0.012216491,19534.21285
510847807,Commercial,Commercial,367.3170363,84.39739534,497556.912,7667473.161,5,4.686300278,4.352231901,0.012758189,601155.924
510847808,Garage,Commercial,115.7389966,43.34405798,497535.3863,7667496.398,5,3.237192154,2.670239058,0.027969762,81430.80083
510847810,Multi-Unit Residential,Residential,432.8659129,108.0981553,497468.3176,7667517.307,5,1.609563828,4.004378353,0.003718389,1263149.771
510847811,Multi-Unit Residential,Residential,477.7901121,110.4472856,497436.7188,7667538.358,5,4.59972477,4.325956128,0.009627082,1347302.579
510847812,Multi-Unit Residential,Residential,370.9928308,92.00518255,497427.1074,7667490.497,5,3.036710739,4.032303622,0.008185362,778819.6026
510847813,Single-Unit Residential,Residential,130.9166373,46.57433464,497417.5465,7667457.313,5,5.829702377,2.810918037,0.044529882,101027.5865
510847814,Multi-Unit Residential,Residential,249.9859194,66.90787779,497461.7713,7667476.235,5,1.986473083,3.736270342,0.00794634,299524.0952
510847815,Single-Unit Residential,Residential,159.125387,54.56878768,497458.2289,7667448.708,5,3.471607208,2.91605135,0.021816803,162492.3488
510847816,Commercial,Commercial,381.6413643,86.27310641,497616.4681,7667359.505,11,7.613451958,4.423642316,0.019949232,642134.9489
510847817,Garage,Commercial,90.10975259,38.66337356,497614.2282,7667341.609,5,6.954006195,2.330623127,0.077172626,57796.19353
510847818,Garage,Commercial,214.6550219,67.02020281,497553.1946,7667294.908,7,4.315376282,3.20284053,0.020103775,301035.1533
510847819,Commercial,Commercial,374.2457877,92.53054264,497580.9213,7667293.087,11,4.487260818,4.04456493,0.011990144,792237.3753
510847820,Garage,Commercial,120.0856349,45.04822625,497543.2999,7667229.878,5,2.05768013,2.665712834,0.017135106,91418.28856
510847821,Commercial,Commercial,483.850613,146.2715883,497569.2384,7667238.391,9,2.469827652,3.307891973,0.005104525,3129535.858
510847822,Commercial,Commercial,212.3481602,59.74672104,497669.2436,7667342.625,5,3.912315369,3.554139148,0.018424061,213276.118
510847824,Garage,Commercial,254.0582063,65.27783493,497660.9692,7667323.803,5,3.728900909,3.891952094,0.014677349,278161.6316
510847825,Garage,Commercial,72.82018639,34.67317688,497738.7079,7667341.617,5,0.424940109,2.100187896,0.005835471,41685.10551
510847826,Garage,Commercial,55.02229464,30.3302742,497753.6126,7667329.74,5,0.131105423,1.814104755,0.002382769,27901.59365
510847827,Industrial,Industrial,119.8008888,38.97871505,497694.0103,7667248.001,20,10.33924294,3.073495077,0.086303558,59221.92977
510847828,Industrial,Industrial,136.4504426,41.59920092,497679.0614,7667256.334,20,11.17497635,3.280121723,0.081897692,71987.14752
510847829,Industrial,Industrial,46.71462744,24.34087953,497699.6778,7667266.204,20,2.181752205,1.919184037,0.046703834,14421.44576
510847830,Industrial,Industrial,56.15691963,26.68775226,497691.8602,7667273.135,20,1.575884819,2.104220659,0.028062166,19007.98113
510847832,Industrial,Industrial,160.485367,45.11480814,497702.268,7667324.143,20,6.440712929,3.557265863,0.040132711,91824.24042
510847833,Industrial,Industrial,77.45385691,31.34246341,497694.0238,7667308.616,20,2.949683189,2.471211529,0.038083103,30789.26933
510847834,Industrial,Industrial,69.63584455,29.71926722,497705.5466,7667301.024,20,3.615690231,2.343121182,0.051922832,26249.09235
510847840,Single-Unit Residential,Residential,124.1248027,44.63244738,497323.6159,7667170.579,5,1.694862366,2.781044061,0.013654502,88910.30601
510847841,Single-Unit Residential,Residential,168.380173,53.12559798,497297.6424,7667139.744,5,3.423521042,3.169473462,0.020332091,149937.9243
510847843,Single-Unit Residential,Residential,91.75459885,38.31585949,497322.4874,7667124.027,5,5.558198929,2.394689825,0.060576789,56251.70827
510847844,Single-Unit Residential,Residential,99.24106771,39.91853754,497370.6664,7667182.556,5,1.554737091,2.486089767,0.015666267,63609.77599
510847845,Garage,Residential,34.94745728,23.74438096,497370.7937,7667166.475,5,0.553937912,1.471820105,0.015850593,13386.97816
510847846,Single-Unit Residential,Residential,93.04530908,38.86289297,497394.6028,7667182.691,5,3.046873093,2.3941941,0.032746123,58695.57747
510847847,Single-Unit Residential,Residential,121.4875657,44.36606083,497393.1465,7667167.7,5,1.611282349,2.73829958,0.01326294,87327.81841
510847848,Single-Unit Residential,Residential,159.2461739,54.32638926,497417.0131,7667181.769,7,2.516975403,2.931285809,0.015805563,160336.5458
510847849,Single-Unit Residential,Residential,166.2764811,51.5832949,497450.378,7667182.021,5,2.372896194,3.223455994,0.014270787,137254.7042
510847850,Multi-Unit Residential,Residential,184.70022,57.03941557,497396.2333,7667140.159,9,3.630691528,3.238115576,0.019657213,185577.4493
510847851,Single-Unit Residential,Residential,97.62608271,39.52268223,497446.0713,7667148.818,5,3.66235733,2.470127967,0.037514128,61736.10581
510847853,Single-Unit Residential,Residential,152.6010157,49.41272446,497249.5872,7667136.822,5,3.865570068,3.088293904,0.025331221,120646.9648
510847855,Single-Unit Residential,Residential,216.9428414,67.95252779,497224.5502,7667201.356,9,4.63649559,3.192564699,0.021371969,313773.9251
510847856,Multi-Unit Residential,Residential,183.4067756,55.30403046,497183.886,7667229.072,6,2.459819794,3.316336515,0.013411826,169149.3562
510847857,Multi-Unit Residential,Residential,152.7899781,49.7956765,497197.3473,7667221.55,6,0.259857178,3.068338233,0.001700748,123473.8274
510852662,Single-Unit Residential,Residential,220.4793208,64.28091933,497068.7543,7667239.646,9,3.176013947,3.429934156,0.014405042,265611.1107
510852663,Single-Unit Residential,Residential,203.6428197,59.12771648,497099.8006,7667229.895,7,1.221170425,3.44411778,0.005996629,206715.6325
510852664,Multi-Unit Residential,Residential,267.3289701,73.2295121,497136.3326,7667228.305,5,6.872688293,3.65056331,0.02570873,392697.758
510852667,Single-Unit Residential,Residential,115.7344377,47.92798052,497153.7189,7667330.267,9,1.062688828,2.414757234,0.009182132,110094.9479
510852668,Multi-Unit Residential,Residential,664.1197391,135.0238662,497194.1286,7667358.681,5,5.331350327,4.918535944,0.008027694,2461680.113
510852669,Single-Unit Residential,Residential,94.0829684,38.861704,497243.6724,7667234.625,5,1.388408661,2.420968684,0.01475728,58690.19043
510852670,Single-Unit Residential,Residential,122.0889986,51.61053959,497207.0214,7667267.702,7,2.004718781,2.36558268,0.016420143,137472.3
510852671,Single-Unit Residential,Residential,145.1720243,48.43601203,497234.76,7667289.759,5,2.030456543,2.997191928,0.013986555,113633.1733
510852673,Garage,Residential,31.19174413,22.66716083,497242.5871,7667254.08,5,2.077373505,1.376076358,0.066600107,11646.39132
510852676,Single-Unit Residential,Residential,140.9132086,51.51494298,497267.7042,7667218.757,9,2.308794022,2.735385122,0.016384511,136709.807
510852677,Single-Unit Residential,Residential,211.4441861,63.04893752,497294.3058,7667210.931,7,1.109134674,3.353651853,0.00524552,250630.1518
510852678,Garage,Residential,34.27020199,23.81126346,497300.8312,7667222.124,5,2.115510941,1.439243324,0.061730332,13500.42129
510852679,Single-Unit Residential,Residential,148.0945793,51.39510997,497270.5842,7667306.838,9,2.326478958,2.881491632,0.015709413,135757.9899
510852680,Single-Unit Residential,Residential,178.4615939,59.14574351,497294.2707,7667306.34,7,2.643268585,3.017319308,0.014811414,206904.7622
510852681,Single-Unit Residential,Residential,121.0812984,44.16237579,497299.098,7667341.574,5,2.302268982,2.741729724,0.019014241,86130.56317
510852682,Single-Unit Residential,Residential,117.551662,43.93512897,497267.3892,7667344.952,5,1.838531494,2.675573391,0.0156402,84807.78429
510852683,Single-Unit Residential,Residential,173.0423382,52.61861207,497237.6535,7667341.059,5,3.605941772,3.288614643,0.020838494,145686.1161
510852684,Single-Unit Residential,Residential,155.5097466,51.82230489,497212.3916,7667327.227,5,2.545730591,3.000826514,0.016370232,139171.4575
510852687,Single-Unit Residential,Residential,162.5760624,51.02017767,497131.2738,7667361.929,5,0.444263458,3.186505218,0.00273265,132808.5086
510852688,Single-Unit Residential,Residential,208.8681362,59.46388194,497150.9623,7667377.15,7,1.174369812,3.512521036,0.005622542,210261.5069
510852689,Single-Unit Residential,Residential,140.6131326,48.81955614,497170.5915,7667390.402,7,1.461679459,2.880262414,0.010395042,116354.0433
510852690,Single-Unit Residential,Residential,119.0359134,44.12885242,497197.8039,7667406.562,5,1.962568283,2.697462246,0.016487195,85934.56858
510852691,Single-Unit Residential,Residential,129.1750611,46.72922046,497220.1348,7667418.293,7,2.433774948,2.764331607,0.018840904,102038.8624
510852692,Commercial,Commercial,131.0262183,46.96264032,497243.4878,7667425.393,5,2.128555298,2.790009622,0.016245262,103575.6141
510852693,Commercial,Commercial,295.5889727,75.4679017,497303.9352,7667434.746,9,2.321809769,3.91675091,0.007854859,429820.2033
510852694,Commercial,Commercial,180.2238921,60.88932369,497277.068,7667437.376,9,1.005439758,2.959860304,0.005578837,225747.7606
510852695,Garage,Residential,104.7778114,42.25746547,497298.0528,7667359.594,5,1.558794022,2.479510076,0.014877139,75458.87667
510852696,Single-Unit Residential,Residential,123.6434943,44.69476483,497295.0813,7667389.984,5,1.696918488,2.766397692,0.013724284,89283.24563
510852697,Single-Unit Residential,Residential,113.6422746,46.99797865,497237.6345,7667380.836,5,0.358545303,2.418024729,0.003155035,103809.6051
510859331,Commercial,Commercial,406.951544,88.00309725,497389.5039,7667534.635,9,6.093280792,4.624286607,0.014972989,681543.9577
510859332,Industrial,Industrial,61.73363555,31.69962064,497634.8711,7667240.642,7,1.309207916,1.947456604,0.021207368,31853.86935
510859335,Industrial,Industrial,45.42499716,32.39655943,497668.4435,7667215.013,5,1.988178253,1.40215498,0.043768374,34001.38983
510859338,Industrial,Industrial,122.9900776,39.49454386,497674.2975,7667200.29,20,3.683897018,3.114103002,0.029952799,61604.33968
510859339,Industrial,Industrial,69.6759948,29.72786088,497656.8645,7667197.721,20,3.311788559,2.343794432,0.047531271,26271.86961
510859340,Industrial,Industrial,111.6037864,37.62351616,497671.9038,7667185.694,20,5.250324249,2.966330578,0.04704432,53257.17701
510859341,Industrial,Industrial,69.52633383,29.69583703,497652.8723,7667184.042,20,4.474918365,2.341282172,0.064362927,26187.0582
510859342,Industrial,Industrial,71.92700797,30.20254784,497649.2285,7667170.143,20,3.871665955,2.38148809,0.053827708,27550.57977
510859343,Industrial,Industrial,159.2396572,44.94086313,497665.1997,7667168.003,20,4.488435745,3.543315507,0.02818667,90766.21542
510859344,Industrial,Industrial,145.9975588,48.40971559,497600.7035,7667175.258,5,2.416046143,3.015873096,0.016548538,113448.1957
510859345,Industrial,Industrial,164.5066729,51.33323471,497597.7015,7667150.392,5,3.679445267,3.204681604,0.022366541,135268.2574
